type,properties/@id,properties/internet_access,properties/name,properties/old_name,properties/phone,properties/rooms,properties/tourism,properties/website,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/amenity,properties/cuisine,properties/addr:housenumber,properties/addr:street,properties/check_date,properties/indoor_seating,properties/wheelchair,properties/addr:country,properties/addr:postcode,properties/addr:suburb,properties/air_conditioning,properties/brand,properties/brand:wikidata,properties/brand:wikipedia,properties/contact:phone,properties/contact:website,properties/opening_hours,properties/addr:city,properties/addr:unit,properties/payment:cash,properties/payment:credit_cards,properties/payment:debit_cards,properties/bar,properties/outdoor_seating,properties/smoking,properties/addr:housename,properties/addr:state,properties/internet_access:fee,properties/takeaway,properties/email,properties/addr:floor,properties/level,properties/toilets,properties/toilets:access,properties/name:en,properties/changing_table,properties/drive_through,properties/toilets:menstrual_products,properties/toilets:wheelchair,properties/historic,properties/operator,properties/contact:facebook,properties/breakfast,properties/delivery,properties/delivery:partner,properties/fixme,properties/ref,properties/contact:instagram,properties/contact:twitter,properties/fax,properties/stars,properties/website:menu,properties/highchair,properties/phone:AU,properties/brand:en,properties/brand:ja,properties/name:ja,properties/reservation,properties/wikidata,properties/wikipedia,properties/capacity,properties/brewery,properties/description,properties/diet:dairy_free,properties/diet:gluten_free,properties/diet:meat,properties/diet:vegetarian,properties/payment:mastercard,properties/payment:visa,properties/diet:vegan,properties/alt_name,properties/check_date:diet:vegan,properties/check_date:diet:vegetarian,properties/check_date:opening_hours,properties/check_date:smoking,properties/payment:american_express,properties/min_age,properties/drink:coffee,properties/food:salad,properties/food:bagel,properties/diet:noodle,properties/not:brand:wikidata,properties/opening_hours:signed,properties/self_service,properties/drink:bubble_tea,properties/currency:AUD,properties/second_hand,properties/stroller
Feature,node/61712373,wlan,Aurea Hotel,Sullivans Hotel,+61 8 6146 3933,71,hotel,https://aureahotel.com.au/,Point,115.8454903,-31.959261,node/61712373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/322132928,,The Red Fox Restaraunt and Tavern,,,,,,Point,-76.2522307,44.9003995,node/322132928,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/443149505,,Jersey Joe's,,,,,,Point,-76.2546359,44.9024783,node/443149505,restaurant,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/443151704,,Peter's Restaurant,,,,,,Point,-76.2485318,44.8989202,node/443151704,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/443152542,,Fiddleheads Bar & Grill,,,,,https://www.fiddleheadsbarandgrill.com/,Point,-76.2512987,44.899623,node/443152542,restaurant,,53,Herriott Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/443152543,,Coutts Coffee Roastery & Cafe,,,,,,Point,-76.2492273,44.8999295,node/443152543,cafe,,,,2025-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/443153840,,Mammoth cheese,,,,attraction,,Point,-76.2477742,44.9002428,node/443153840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/491331934,,Toctoc,,,,,,Point,115.8595628,-31.9489896,node/491331934,cafe,dessert,208,William Street,2024-09-11,yes,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/492098375,wlan,Novotel Perth Langley,,,,hotel,,Point,115.8677743,-31.958992,node/492098375,,,221,Adelaide Terrace,,,,AU,6000,Perth,yes,Novotel,Q420545,en:Novotel,+61 8 9221 1200,https://www.novotelperthlangley.com.au/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/600328446,,The Moon,,,,,,Point,115.8610643,-31.9460394,node/600328446,restaurant,,,,2024-06-18,,,,,,,,,,,,Mo-Th 17:00-00:00; Fr 17:00-01:00; Sa 12:00-01:00; Su 12:00-00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/729404823,,Pensione Hotel,,,,hotel,,Point,115.8628067,-31.9543917,node/729404823,,,,,2023-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/729404992,,Seasons,,,,hotel,,Point,115.862339,-31.9545972,node/729404992,,,,,2023-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/796259735,,Perth Restaurant,,,,,,Point,-76.2502702,44.9007838,node/796259735,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/796259743,,Skye Dragon,,+1-613-267-2828,,,,Point,-76.2519272,44.9005965,node/796259743,restaurant,chinese,70,Foster Street,,,,,,,,,,,,,,Perth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
