type,properties/@id,properties/created_by,properties/name,properties/tourism,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/natural,properties/amenity,properties/cuisine,properties/phone,properties/website,properties/wheelchair,properties/historic,properties/ref:nz:heritage,properties/wikidata,properties/addr:city,properties/addr:country,properties/addr:housenumber,properties/addr:street,properties/addr:suburb,properties/name:mi,properties/diet:vegan,properties/internet_access,properties/opening_hours,properties/description,properties/ref:linz:address_id,properties/brand,properties/brand:wikidata,properties/name:zh,properties/shop,properties/source,properties/brand:wikipedia,properties/start_date,properties/outdoor_seating,properties/email,properties/addr:postcode,properties/level,properties/building:flats,properties/contact:facebook,properties/contact:instagram,properties/self_service,properties/website:menu,properties/man_made,properties/check_date,properties/wifi,properties/diet:halal,properties/branch,properties/bar,properties/reservation,properties/official_name,properties/takeaway,properties/check_date:internet_access,properties/old_name,properties/check_date:currency:XBT,properties/currency:XBT,properties/facebook,properties/payment:onchain,properties/note,properties/internet_access:fee,properties/smoking,properties/operator,properties/name:en,properties/addr:housename,properties/diet:kosher,properties/payment:credit_cards,properties/payment:debit_cards,properties/fixme,properties/check_date:opening_hours,properties/air_conditioning,properties/toilets,properties/stars,properties/alt_name,properties/name:mk,properties/opening_hours:signed,properties/name:ja,properties/mobile,properties/contact:website,properties/diet:gluten_free,properties/diet:vegetarian,properties/attraction,properties/craft,properties/addr:district,properties/contact:tripadvisor,properties/contact:yelp,properties/contact:email,properties/opening_hours:kitchen,properties/payment:cards,properties/payment:cash,properties/delivery,properties/source:location,properties/survey:date,properties/capacity,properties/brewery,properties/changing_table,properties/indoor_seating,properties/brand:en,properties/brand:zh,properties/addr:neighbourhood,properties/surveillance,properties/opening_hours:covid19,properties/diet:lactose_free,properties/internet_access:ssid,properties/opening_hours:rubbish,properties/payment:coins,properties/payment:mastercard,properties/payment:notes,properties/payment:visa,properties/payment:eftpos,properties/disused,properties/contact:phone,properties/contact:webchat,properties/highchair,properties/toilets:access,properties/addr:hamlet,properties/check_date:currency,properties/payment:lightning,properties/payment:lightning_contactless,properties/dog,properties/not:brand:wikidata,properties/name:de,properties/cafe,properties/contact:twitter,properties/name:ko,properties/toilets:wheelchair,properties/payment:nfc_mobile_payments,properties/addr:floor,properties/diet:mediterranean,properties/diet:seafood,properties/microbrewery,properties/payment:apple_pay,properties/payment:google_pay,properties/addr:unit,properties/is_in,properties/ref,properties/source:opening_hours,properties/name:zh-hant,properties/name:nl,properties/name:ru,properties/name:ar,properties/min_age,properties/rooms,properties/operator:type,properties/operator:wikidata,properties/int_name,properties/contact:pinterest,properties/check_date:diet:gluten_free,properties/check_date:diet:vegan,properties/check_date:diet:vegetarian,properties/changing_table:location,properties/nohousenumber,properties/diet:meat,properties/diet:non-vegetarian,properties/diet:pescetarian,properties/kids_area,properties/payment:qr_code,properties/access,properties/ruins,properties/brand:ja,properties/railway,properties/theme,properties/contact:zomato,properties/contact:foursquare,properties/payment:contactless,properties/payment:cryptocurrencies,properties/payment:electronic_purses,properties/payment:maestro,properties/payment:visa_debit,properties/payment:visa_electron,properties/barrier,properties/leisure,properties/sport,properties/disused:amenity,properties/disused:shop,properties/drive_through,properties/payment:account_cards,properties/payment:app,properties/contact:tiktok,properties/contact:youtube,properties/opening_hours:url,properties/happy_hours,properties/short_name
Feature,node/21634581,JOSM,Wooden Horse,attraction,Point,175.4230382,-36.1759732,node/21634581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/21634589,JOSM,Kauri Dam,attraction,Point,175.3997378,-36.1835901,node/21634589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/21634610,,Kauri Tree,attraction,Point,175.3522971,-36.1574615,node/21634610,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/91921372,,Jax Munster Inn,,Point,174.7643444,-36.8506597,node/91921372,,restaurant,irish,+64 9 377 3147,https://www.munsterinn.co.nz/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/262078157,,Narrow Neck Beach Cafe,,Point,174.8015433,-36.8133621,node/262078157,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/262078398,,Fort Takapuna,attraction,Point,174.8060139,-36.8151213,node/262078398,,,,,,,fort,86,Q79301071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/264896512,,Manuka,,Point,174.7975109,-36.8305752,node/264896512,,restaurant,,,,,,,,Auckland,NZ,49,Victoria Road,Devonport,Manuka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/267789268,,Ki Māha,,Point,175.0814461,-36.7882055,node/267789268,,restaurant,fish_and_chips;fish;breakfast;local;pizza;seafood,,http://kimaha.co.nz/,,,,,,,,,,Ki Māha,yes,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/295820136,,La Belle Poste Café,,Point,174.737699,-36.8652259,node/295820136,,cafe,,,,,,,,,,,,,,,,"Mo-Fr 07:00-15:00; Sa,Su 07:30-15:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/305107429,,Fort Stony Batter,attraction,Point,175.1738129,-36.7627342,node/305107429,,,,,,,fort,,,,,,,,,,,,Historic gun emplacements and tunnels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
