type,properties/@id,properties/alt_name,properties/ele,properties/gnis:feature_id,properties/name,properties/name:en,properties/name:ko,properties/place,properties/population,properties/tourism,properties/wikidata,properties/wikipedia,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/amenity,properties/created_by,properties/addr:housenumber,properties/addr:street,properties/opening_hours,properties/phone,properties/website,properties/addr:city,properties/addr:postcode,properties/addr:state,properties/brand,properties/brand:wikidata,properties/cuisine,properties/heritage,properties/heritage:operator,properties/historic,properties/name:zh,properties/ref:nrhp,properties/landuse,properties/resource,properties/wheelchair,properties/natural,properties/source_ref,properties/branch,properties/official_name,properties/ref,properties/takeaway,properties/air_conditioning,properties/bar,properties/check_date,properties/contact:email,properties/contact:phone,properties/contact:yelp,properties/payment:cash,properties/smoking,properties/toilets,properties/website:menu,properties/outdoor_seating,properties/reservation,properties/addr:country,properties/contact:facebook,properties/contact:instagram,properties/contact:twitter,properties/contact:youtube,properties/delivery,properties/level,properties/alcohol,properties/addr:housename,properties/addr:floor,properties/addr:full,properties/diet:vegan,properties/diet:vegetarian,properties/gluten_free,properties/payment:credit_cards,properties/payment:debit_cards,properties/source,properties/email,properties/fax,properties/cocktails,properties/drink:beer,properties/drink:liquor,properties/drink:wine,properties/start_date,properties/addr:unit,properties/internet_access,properties/internet_access:fee,properties/shop,properties/short_name,properties/description,properties/geological,properties/note,properties/image,properties/check_date:opening_hours,properties/wikimedia_commons,properties/payment:cards,properties/toilets:wheelchair,properties/stars,properties/diet:gluten_free,properties/was:name,properties/contact:website,properties/drive_through,properties/indoor_seating,properties/operator,properties/payment:mastercard,properties/payment:visa,properties/opening_hours:signed,properties/brewery,properties/old_name,properties/layer,properties/leisure,properties/sport,properties/brand:en,properties/brand:ja,properties/name:ja,properties/opening_hours:covid19,properties/addr:suburb,properties/panoramax,properties/panoramax:0,properties/capacity,properties/currency:XBT,properties/brand:ko,properties/diet:halal,properties/dog,properties/safety:hand_sanitizer:covid19,properties/safety:mask:covid19,properties/television,properties/check_date:currency:XBT,properties/payment:lightning,properties/payment:lightning:operator,properties/payment:lightning_contactless,properties/payment:onchain,properties/is_in:city,properties/is_in:state_code,properties/is_in:zip,properties/name:hi,properties/atm,properties/entrance,properties/drive_in,properties/microbrewery,properties/organic,properties/diet:meat,properties/brand:wikipedia,properties/diet:dairy_free,properties/diet:kosher,properties/attraction,properties/rice_noodle,properties/coffee,properties/diet:lacto_vegetarian,properties/music,properties/not:brand:wikidata,properties/beer,properties/outdoor_counter,properties/wine,properties/brand:zh,properties/contact:fax,properties/ice_cream,properties/operator:wikidata,properties/diet:non-vegetarian,properties/pub,properties/name:es,properties/access,properties/name:fr,properties/name:pt,properties/name:ko-Latn,properties/diet:organic,properties/name:ru,properties/name:de,properties/amenity_1,properties/changing_table,properties/toilets:access,properties/height,properties/contact:tiktok,properties/payment:american_express,properties/junction,properties/payment:contactless,properties/name:km,properties/happy_hours,properties/hookah,properties/leaf_cycle,properties/leaf_type,properties/disused:email,properties/name:vi,properties/religion,properties/drink:coffee,properties/drink:juice,properties/payment:discover_card,properties/self_service,properties/name:it,properties/toilets:fee,properties/toilets:handwashing,properties/toilets:paper_supplied,properties/toilets:position,properties/addr:suite,properties/previously,properties/diet:healthy,properties/fixme,properties/payment:bitcoincash,properties/cemetery,properties/drink:espresso,properties/toilets:unisex,properties/drink:sake,properties/mapillary,properties/name:pl,properties/toilets:num_chambers,properties/man_made,properties/theme,properties/contact:linkedin,properties/name:zh-Hant,properties/rooms,properties/payment:apple_pay,properties/payment:google_pay,properties/diet:omnivore,properties/diet:soul_food,properties/int_name,properties/contact:line,properties/handwashing:soap,properties/highchair,properties/internet_access:ssid,properties/kids_area,properties/toilets:disposal,properties/toilets:gender_segregated,properties/toilets:hands_drying,properties/toilets:supervised,properties/toilets:wheelchair:grab_rail:behind,properties/survey:date,properties/twitter,properties/lunch:menu,properties/street_vendor,properties/building,properties/seafood,properties/name:fa,properties/was:cuisine,properties/bicycle_parking,properties/check_date:diet:vegetarian,properties/service:electricity,properties/toilets:wheelchair:grab_rail:foldable:right,properties/toilets:wheelchair:grab_rail:left,properties/toilets:wheelchair:grab_rail:right,properties/name:bn,properties/diet:local,properties/diet:seafood,properties/payment:app,properties/menu,properties/pizza:style,properties/subject:wikidata,properties/subject:wikipedia,properties/contact:tripadvisor,properties/website:booking,properties/building:levels,properties/lgbtq,properties/bar:type,properties/stroller,properties/lacounty:ain,properties/lacounty:bld_id,properties/instagram
Feature,node/150968103,Ktown,61,1732794,Koreatown,Koreatown,코리아타운,suburb,124281,attraction,Q872664,"en:Koreatown, Los Angeles",Point,-118.305447,34.0617936,node/150968103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/349338599,,,,Big Wang's,,,,,,,,Point,-118.3289013,34.0996138,node/349338599,restaurant,Potlatch 0.10f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/349338821,,,,Cafe Etc.,,,,,,,,Point,-118.3293304,34.0998981,node/349338821,restaurant,,6371,Selma Avenue,Mo-Fr 7:00-21:00; Sa-Su 7:00-21:00,+1 323-464-8824,http://www.caffeetc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/353942124,,,,Backdoor Bakery,,,,,,,,Point,-118.3152399,34.2599805,node/353942124,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/353942568,,,,Pizza Hut,,,,,,,,Point,-118.3147464,34.2602353,node/353942568,restaurant,,8337,Foothill Boulevard,,+1 818-352-8868,https://locations.pizzahut.com/ca/sunland/8337-foothill-blvd,Sunland,91040,CA,Pizza Hut,Q191615,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/358828800,,1,1763330,Venice Canal Historic District,Venice Canal Historic District,,neighbourhood,,attraction,Q7919977,en:Venice Canal Historic District,Point,-118.466189,33.9841779,node/358828800,,,,,,,,Venice,90292,CA,,,,2,nrhp,district,运河城,82002193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/360256621,,,,Giamela's,,,,,,,,Point,-118.3239296,34.2601218,node/360256621,restaurant,,,,,,,,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/360258364,,,,Like's,,,,,,,,Point,-118.3233814,34.2599959,node/360258364,restaurant,,,,,,,,,,,,asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/369164732,,56,,La Brea Tar Pits,,,,,attraction,Q1147168,,Point,-118.3563873,34.0632232,node/369164732,,,,,,,,,,,,,,,,,,,quarry,tar,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/369171015,,13,1655006,Santa Monica Bay,,,,,attraction,Q999063,,Point,-118.4667444,33.9350121,node/369171015,,,,,,,,,,CA,,,,,,,,,,,,bay,geonames.usgs.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
