type,properties/@id,properties/amenity,properties/ferry,properties/name,properties/network,properties/operator,properties/public_transport,properties/source,properties/tourism,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/addr:city,properties/addr:housenumber,properties/addr:postcode,properties/addr:state,properties/addr:street,properties/brand,properties/brand:wikidata,properties/cuisine,properties/wheelchair,properties/check_date,properties/opening_hours,properties/outdoor_seating,properties/phone,properties/website,properties/wheelchair:description,properties/branch,properties/official_name,properties/takeaway,properties/addr:country,properties/contact:website,properties/entrance,properties/indoor_seating,properties/smoking,properties/addr:unit,properties/url,properties/ele,properties/gnis:feature_id,properties/wikidata,properties/wikipedia,properties/ref,properties/email,properties/fixme,properties/panoramax,properties/website:menu,properties/payment:cash,properties/payment:credit_cards,properties/payment:debit_cards,properties/name:ko,properties/diet:halal,properties/level,properties/payment:mastercard,properties/payment:visa,properties/internet_access,properties/internet_access:fee,properties/toilets,properties/check_date:opening_hours,properties/addr:street:name,properties/addr:street:prefix,properties/addr:street:type,properties/contact:facebook,properties/air_conditioning,properties/addr:floor,properties/contact:instagram,properties/diet:fish,properties/delivery,properties/bar,properties/rooms,properties/alt_name,properties/fax,properties/diet:vegan,properties/diet:vegetarian,properties/atm,properties/drive_through,properties/wifi,properties/note,properties/layer,properties/toilets:wheelchair,properties/contact:phone,properties/contact:foursquare,properties/kids_area,properties/payment:cards,properties/payment:qr_code,properties/reservation,properties/opening_hours:signed,properties/addr:housename,properties/coffee,properties/shop,properties/construction,properties/name:vi,properties/drive_in,properties/microbrewery,properties/organic,properties/short_name,properties/check_date:smoking,properties/internet_access:ssid,properties/panoramax:0,properties/service:electricity,properties/not:brand:wikidata,properties/phone:mnemonic,properties/diet:pescetarian,properties/self_service,properties/capacity,properties/contact:email,properties/payment:contactless,properties/diet:kosher,properties/diet:kosher:certification,properties/diet:kosher:dairy,properties/diet:kosher:meat,properties/diet:kosher:pareve,properties/craft,properties/disused:amenity,properties/diet:kosher:chalav_yisrael,properties/diet:kosher:yoshon,properties/description,properties/payment:coins,properties/contact:tiktok,properties/owner,properties/facebook,properties/payment:not_cash,properties/name:en,properties/name:ru,properties/name:uk,properties/breakfast,properties/lunch,properties/contact:yelp,properties/contact:tripadvisor,properties/diet:gluten_free,properties/diet:local,properties/lat,properties/lon,properties/payment:apple_pay,properties/name:de,properties/contact:twitter,properties/toilets:access,properties/payment:american_express,properties/payment:discover_card,properties/name:es,properties/amenity_1,properties/check_date:currency:XBT,properties/currency:XBT,properties/payment:lightning,properties/payment:lightning:operator,properties/payment:lightning_contactless,properties/payment:onchain,properties/drink:alcohol,properties/disused:office,properties/old_name,properties/contact:pinterest,properties/contact:youtube,properties/payment:diners_club,properties/opening_hours:covid19,properties/internet_access:password,properties/source:access:password,properties/brewery,properties/old_name:vi,properties/description:en,properties/reservation:website,properties/leisure,properties/loc_name,properties/brand:en,properties/brand:zh,properties/name:zh,properties/chicago:building_id,properties/changing_table,properties/highchair,properties/payment:mastercard_contactless,properties/indoor,properties/room,properties/alcohol,properties/status,properties/historic,properties/material,properties/memorial,properties/subject:wikidata,properties/subject:wikimedia_commons,properties/subject:wikipedia,properties/attraction,properties/species:wikidata,properties/species:wikipedia,properties/disused:cuisine,properties/strapline,properties/access,properties/drinking_water,properties/man_made,properties/pump,properties/yelp,properties/diet:healthy,properties/building:levels,properties/diet:nut_free,properties/diet:oil_free,properties/diet:soy_free,properties/brand:wikipedia,properties/diet:chicken,properties/diet:meat,properties/brand:ja,properties/name:ja,properties/diet:organic,properties/exhibit,properties/heritage,properties/heritage:operator,properties/heritage:website,properties/nrhp:criteria,properties/nrhp:inscription_date,properties/nrhp:nhl,properties/ref:nrhp,properties/start_date,properties/wikimedia_commons,properties/int_name,properties/sport,properties/office,properties/theme,properties/changing_table:fee,properties/changing_table:location,properties/dinner,properties/name:kr,properties/lgbtq,properties/polling_station,properties/toilets:fee,properties/toilets:supervised,properties/opening_hours:url,properties/instagram
Feature,node/20217109,ferry_terminal,yes,Shoreline Sightseeing,Shoreline Water Taxi,Shoreline Water Taxi,station,PGS,attraction,Point,-87.6225172,41.8891445,node/20217109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/306741002,restaurant,,Bubba Gump Shrimp Company,,,,,,Point,-87.6096584,41.8914114,node/306741002,Chicago,600,60611,IL,East Grand Avenue,Bubba Gump Shrimp Company,Q50024,seafood,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/318274065,restaurant,,Pizano's Pizza & Pasta,,,,,,Point,-87.6256688,41.8819751,node/318274065,Chicago,61,60603,IL,East Madison Street,,,pizza;pasta,yes,26-09-2025,Mo-Su 11:00-24:00,yes,+1 312-236-1777,https://www.pizanoschicago.com/locations/chicago-loop/,Enter via 67 East Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/318276729,cafe,,Park Place Cafe,,,,,,Point,-87.6332051,41.9208448,node/318276729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/346210195,restaurant,,Lou Malnati's Pizzeria,,,,,,Point,-87.6535647,41.9291497,node/346210195,Chicago,958,60614,IL,West Wrightwood Avenue,Lou Malnati's Pizzeria,Q6685628,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/346234680,cafe,,Starbucks,,,,,,Point,-87.6761596,41.9616382,node/346234680,Chicago,1900,60613,IL,West Montrose Avenue,Starbucks,Q37158,coffee_shop,,,Su 06:00-20:00; Mo-Fr 05:00-20:00; Sa 06:00-19:00,yes,+1 773-878-0272,https://www.starbucks.com/store-locator/store/9295/1900-w-montrose-1900-w-montrose-avenue-chicago-il-606131012-us,,1900 West Montrose,Starbucks Coffee,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/346235240,restaurant,,La Amistad,,,,,,Point,-87.6766491,41.9616342,node/346235240,Chicago,1914,60613,IL,West Montrose Avenue,,,mexican,,,Mo-Su 11:00-22:00,,-7450,https://www.laamistadchicago.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/347159885,cafe,,Starbucks,,,,,,Point,-87.6348879,41.9113009,node/347159885,Chicago,210,60610,IL,West North Avenue,Starbucks,Q37158,coffee_shop,,,,yes,,,,,Starbucks Coffee,yes,US,https://www.starbucks.com/store-locator/store/13608/north-wells-pipers-alley-210-w-north-avenue-chicago-il-606101225-us,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/347160446,restaurant,,Twin Anchors Restaurant & Tavern,,,,,,Point,-87.638378,41.9127223,node/347160446,Chicago,1655,60614,IL,North Sedgwick Street,,,american;ribs,,,Mo-Tu 17:00-22:30; We-Th 17:00-23:00; Fr 17:00-00:00; Sa 12:00-00:00; Su 12:00-22:30,,-2193,https://twinanchorsribs.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/347162170,cafe,,Savor the Flavor,,,,,,Point,-87.653374,41.9285344,node/347162170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
