type,properties/@id,properties/amenity,properties/name,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/historic,properties/name:hi,properties/tourism,properties/memorial,properties/name:en,properties/reservation,properties/addr:city,properties/addr:postcode,properties/addr:street,properties/operator,properties/phone,properties/website,properties/created_by,properties/brand,properties/brand:wikidata,properties/cuisine,properties/diet:vegetarian,properties/outdoor_seating,properties/diet:vegan,properties/disused,properties/alt_name,properties/wheelchair,properties/wikidata,properties/wikimedia_commons,properties/wikipedia,properties/internet_access,properties/opening_hours,properties/ruins,properties/ele,properties/source:ele,properties/name:fa,properties/addr:country,properties/addr:housenumber,properties/addr:place,properties/email,properties/phone2,properties/phone3,properties/fax,properties/addr:block,properties/addr:streetname,properties/addr:suburb,properties/name:bn,properties/stars,properties/tables,properties/addr:state,properties/addr:housename,properties/takeaway,properties/internet_access:fee,properties/name:ru,properties/man_made,properties/name:es,properties/addr:unit,properties/contact:mobile,properties/level,properties/start_date,properties/check_date,properties/brand:pa,properties/brand:ur,properties/brand:wikipedia,properties/name:pa,properties/name:ur,properties/official_name,properties/official_name:pa,properties/official_name:ur,properties/survey:date,properties/contact:phone,properties/source:name,properties/indoor_seating,properties/panoramax,properties/service:electricity,properties/short_name,properties/toilets,properties/toilets:access,properties/toilets:wheelchair,properties/air_conditioning,properties/delivery,properties/capacity,properties/addr:full,properties/name:fr,properties/place,properties/smoking,properties/shop,properties/firearms,properties/kids_area,properties/panoramax:0,properties/panoramax:1,properties/panoramax:2,properties/panoramax:3,properties/panoramax:4,properties/payment:cards,properties/payment:cash,properties/payment:qr_code,properties/addr:district,properties/bar,properties/internet_access:ssid,properties/mobile,properties/payment:mastercard,properties/payment:neft,properties/payment:upi,properties/payment:visa,properties/payment:wire_transfer,properties/rooms,properties/source,properties/name:ca,properties/name:ko,properties/name:kn,properties/description,properties/name:de,properties/name:ar,properties/addr:hamlet,properties/contact:website,properties/phone_1,properties/access,properties/diet:gluten_free,properties/diet:lacto_vegetarian,properties/addr:neighbourhood,properties/branch,properties/contact:facebook,properties/diet:lactose_free,properties/image:menu,properties/image:menu:0,properties/image:menu:1,properties/image:menu:2,properties/image:menu:3,properties/image:menu:4,properties/image:menu:5,properties/image:menu:6,properties/image:menu:7,properties/payment:credit_cards,properties/payment:debit_cards,properties/toilets:fee,properties/toilets:level,properties/note,properties/name:ja,properties/drink:coffee,properties/drink:tea,properties/craft,properties/ref,properties/seats,properties/name:nl,properties/alcohol,properties/drink:beer,properties/drink:vodka,properties/drink:wine,properties/self_service,properties/drink:alcohol,properties/drink:sake,properties/toilets:gender_segregated,properties/toilets:panoramax,properties/toilets:position,properties/toilets:supervised,properties/addr:level,properties/toilets:panoramax:0,properties/name:he,properties/check_date:opening_hours,properties/contact:email,properties/contact:instagram,properties/drink:shake,properties/brand:wikipedia:pa,properties/image,properties/payment:diners_club,properties/payment:discover_card,properties/addr:subdistrict,properties/panoramax:5,properties/brewery,properties/changing_table,properties/diet:chicken,properties/diet:fish,properties/diet:halal,properties/diet:meat,properties/diet:non-vegetarian,properties/diet:omnivore,properties/diet:seafood,properties/highchair,properties/drink:hot_chocolate,properties/facebook,properties/opening_hours:covid19,properties/fixme,properties/payment:electronic_purses,properties/owner,properties/internet_access:type,properties/seafood:sales,properties/cafe,properties/drive_through,properties/is_in,properties/addr:floor,properties/addr:buildingname,properties/microbrewery,properties/opening_hours:kitchen,properties/diet:ovo_vegetarian,properties/name:ta,properties/addr:landmark,properties/addr:locality,properties/address,properties/diet:sugar_free,properties/dog,properties/toilets:hands_drying,properties/toilets:handwashing,properties/website:menu,properties/noname,properties/street_vendor,properties/baby_feeding,properties/contact:website:menu,properties/handwashing:soap,properties/strapline,properties/toilets:disposal,properties/toilets:paper_supplied,properties/location,properties/not:brand:wikidata,properties/nohousenumber
Feature,node/248852574,cafe,Cafe Coffee Day,Point,77.1518947,28.533492,node/248852574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/266809614,,Dandi March Statue (11 Murthi),Point,77.1916453,28.6100877,node/266809614,monument,दांडी मार्च प्रतिमा (ग्यारह मूर्ति),attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/301037266,cafe,,Point,77.194444,28.5392027,node/301037266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/308887236,,Teen Murti Haifa War Memorial,Point,77.198888,28.6047117,node/308887236,memorial,,attraction,war_memorial,Teen Murti Haifa War Memorial,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/308894056,,The Ambassador,Point,77.228846,28.6017391,node/308894056,,,hotel,,,,New Delhi,110003,Subramania Bharti Marg,Vivanta by Taj,+91 11 6626 1000,https://www.vivantabytaj.com/Ambassador-New-Delhi/Overview.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/308894803,restaurant,,Point,77.2299189,28.6069461,node/308894803,,,,,,,,,,,,,Potlatch 0.10f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/438040050,,Radisson Blu Plaza Delhi Airport,Point,77.1195279,28.5431492,node/438040050,,,hotel,,,,,,,Radisson,,,,Radisson Blu,Q7281341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/438049083,restaurant,Flavours Restaurant,Point,77.2340571,28.5663466,node/438049083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/442110900,,Hotel Surya,Point,77.2697503,28.5614243,node/442110900,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/449452338,restaurant,,Point,77.1611109,28.5192021,node/449452338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
