type,properties/@id,properties/addr:city,properties/addr:country,properties/addr:state,properties/heritage:operator,properties/historic,properties/is_in:city,properties/is_in:country,properties/is_in:country_code,properties/is_in:iso_3166_2,properties/is_in:state,properties/name,properties/name:ar,properties/name:bg,properties/name:bn,properties/name:en,properties/name:hi,properties/name:ja,properties/name:ka,properties/name:ml,properties/name:or,properties/name:ru,properties/name:ta,properties/name:th,properties/name:uk,properties/name:zh,properties/ref:whc,properties/start_date,properties/tourism,properties/whc:criteria,properties/whc:inscription_date,properties/wikidata,properties/wikipedia:en,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/access,properties/common_name:en,properties/name:de,properties/name:fr,properties/name:it,properties/opening_hours,properties/wikipedia,properties/castle_type,properties/addr:postcode,properties/breakfast,properties/check_date,properties/internet_access,properties/internet_access:fee,properties/swimming_pool,properties/website,properties/amenity,properties/diet:vegetarian,properties/addr:housenumber,properties/addr:street,properties/stars,properties/addr:full,properties/email,properties/phone,properties/postal_code,properties/source,properties/smoking,properties/wheelchair,properties/beds,properties/rooms,properties/designation,properties/addr:housename,properties/alt_name,properties/cuisine,properties/url,properties/addr:district,properties/description,properties/phone2,properties/capacity,properties/takeaway,properties/payment:credit_cards,properties/payment:debit_cards,properties/brand,properties/brand:wikidata,properties/contact:facebook,properties/contact:instagram,properties/contact:twitter,properties/level,properties/operator,properties/brand:wikipedia,properties/name:ko,properties/int_name,properties/delivery,properties/outdoor_seating,properties/diet:vegan,properties/inscription,properties/addr:unit,properties/name:hu,properties/name:pt,properties/air_conditioning,properties/fax,properties/payment:cash,properties/payment:contactless,properties/short_name,properties/contact:email,properties/opening_hours:covid19,properties/addr:floor,properties/not:name,properties/parking,properties/addr:locality,properties/shop,properties/brand:pa,properties/brand:ur,properties/name:pa,properties/name:ur,properties/official_name,properties/official_name:pa,properties/official_name:ur,properties/entrance,properties/highchair,properties/website:menu,properties/drive_through,properties/payment:cards,properties/payment:mobile_phone,properties/payment:upi,properties/contact:phone,properties/reservation,properties/toilets,properties/toilets:access,properties/addr:place,properties/mobile,properties/branch,properties/payment:google_pay,properties/payment:mastercard,properties/payment:phonepe,properties/payment:visa,properties/payment:zomato_pay,properties/price,properties/type,properties/disused,properties/brewery,properties/changing_table,properties/microbrewery,properties/bar,properties/building:levels,properties/name:mr,properties/fee
Feature,node/542886857,Jaipur,IN,Rajasthan,whc,archaeological_site,Jaipur,India,IN,IN-RJ,Rajasthan,"जंतर मंतर, जयपुर",جايبور,Джайпур,যন্তর মন্তর,Jantar Mantar,"जन्तर मन्तर, जयपुर",ジャンタルマンタル天文台,ჯანტარ-მანტარი,"ജന്തർ മന്തർ, ജയ്‌പൂർ",ଯନ୍ତର ମନ୍ତର,Джантар-Мантар,ஜந்தர் மந்தர்,ชันตรมันตระ,Янтра-мантра,简塔·曼塔天文台,1338,Early 18th century,attraction,"(iii),(iv)",2010,Q508634,Jantar Mantar,Point,75.8244663,26.9247389,node/542886857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/542886858,,,,,monument,,,,,,Hawa Mahal,,,,,हवा महल,,,,,Хава-Махал (Дворец ветров),,,,风之宫,,,attraction,,,Q836531,,Point,75.8268652,26.923932,node/542886858,yes,Palace of winds,Hawa Mahal - Palast der Winde,Hawa Mahal - Palais des vents,Hawa Mahal - Palazzo dei venti,Mon-Su 09:00-18:30,en:Hawa Mahal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/542960968,,,,,castle,,,,,,Jaighar Fort,,,,,जयगढ़ दुर्ग,,,,,,,,,,,,attraction,,,Q2722759,,Point,75.8453997,26.9846903,node/542960968,,,Fort Jaighar,,,,,fortress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/566811593,Jaipur,,,,,,,,,,Umaid Bhawan,,,,,,,,,,,,,,,,,hotel,,,,,Point,75.7922242,26.928392,node/566811593,,,,,,,,,302016,buffet,2024-12-15,wlan,customers,yes,https://www.umaidbhawan.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/566815520,,,,,,,,,,,Natraj vegetarian Restaurant,,,,,,,,,,,,,,,,,,,,,,Point,75.8109776,26.9161855,node/566815520,,,,,,,,,,,,,,,,restaurant,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/655321797,,,,,,,,,,,Holiday Inn,,,,,,,,,,,,,,,,,hotel,,,,,Point,75.8390478,26.9441899,node/655321797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/691257915,Jaipur,,,,,,,,,,Jasvilas,,,,,,,,,,,,,,,,,hotel,,,,,Point,75.7879303,26.9298944,node/691257915,,,,,,,,,,,,,,,,,,C-9,Sawai Jai Singh Highway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/691261875,,,,,,,,,,,Anokhi Cafe,,,,,,,,,,,,,,,,,,,,,,Point,75.7985655,26.9106803,node/691261875,,,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/746508847,,,,,,,,,,,The Oberoi  Rajvilas,,,,,,,,,,,,,,,,,hotel,,,,,Point,75.8838128,26.8763394,node/746508847,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/956223020,,,,,,,,,,,गुलाबी नगरी (पिंक सिटी),,,,Pink City,गुलाबी नगरी (पिंक सिटी),,,,,,,,,,,,attraction,,,,,Point,75.8243929,26.9232015,node/956223020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
