type,properties/@id,properties/name,properties/tourism,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/created_by,properties/addr:city,properties/addr:housenumber,properties/addr:postcode,properties/addr:state,properties/addr:street,properties/amenity,properties/brand,properties/brand:wikidata,properties/cuisine,properties/official_name,properties/addr:suburb,properties/addr:unit,properties/contact:facebook,properties/contact:instagram,properties/delivery,properties/level,properties/opening_hours,properties/phone,properties/takeaway,properties/website,properties/branch,properties/ref,properties/attraction,properties/is_in:theme_park,properties/species:wikipedia,properties/species:wikidata,properties/bar,properties/check_date,properties/internet_access,properties/name:es,properties/outdoor_seating,properties/payment:cash,properties/payment:credit_cards,properties/payment:debit_cards,properties/reservation,properties/toilets,properties/toilets:wheelchair,properties/wheelchair,properties/wikidata,properties/wikipedia,properties/addr:housename,properties/addr:country,properties/source,properties/source:date,properties/internet_access:fee,properties/alt_name,properties/drink:alcohol,properties/note,properties/smoking,properties/diet:meat,properties/payment:bitcoincash,properties/brand:wikipedia,properties/contact:phone,properties/contact:website,properties/description,properties/capacity,properties/email,properties/name:fr,properties/name:en,properties/disused:amenity,properties/shop,properties/diet:vegan,properties/diet:vegetarian,properties/ref:miaaddr,properties/name:de,properties/currency:XBT,properties/payment:lightning,properties/payment:lightning_contactless,properties/payment:onchain,properties/survey:date,properties/air_conditioning,properties/payment:american_express,properties/payment:diners_club,properties/payment:discover_card,properties/payment:mastercard,properties/payment:visa,properties/indoor_seating,properties/opening_hours:covid19,properties/wikimedia_commons,properties/contact:twitter,properties/image,properties/loc_name,properties/website:menu,properties/diet:healthy,properties/self_service,properties/brewery,properties/pub,properties/short_name,properties/rooms,properties/old_name,properties/phone:mnemonic,properties/diet:non-vegetarian,properties/payment:contactless,properties/diet:beef,properties/diet:pork,properties/diet:seafood,properties/diet:chicken,properties/payment:bank_card,properties/contact:tripadvisor,properties/contact:yelp,properties/diet:gluten_free,properties/facebook,properties/instagram,properties/mobile,properties/parking,properties/panoramax,properties/check_date:currency:XBT,properties/payment:lightning:operator,properties/contact:tiktok,properties/language:en,properties/language:es,properties/payment:apple_pay,properties/payment:gift_card,properties/payment:google_pay,properties/payment:paypal,properties/payment:samsung_pay,properties/start_date
Feature,node/99280684,Miami Design District,attraction,Point,-80.19342,25.813414,node/99280684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/185593840,North Nobby,attraction,Point,153.4407414,-28.0620247,node/185593840,Potlatch 0.5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/610300308,First Watch,,Point,-80.2903704,25.7783236,node/610300308,,Miami,5799,33126,FL,Northwest 7th Street,restaurant,First Watch,Q5454064,american;breakfast,First Watch The Daytime Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/677281509,Indian Delights,,Point,153.4399232,-28.0671227,node/677281509,,,2098,4220,,Gold Coast Highway,restaurant,,,indian,,Miami,5,https://facebook.com/IndianDelightsMiami,https://instagram.com/indiandelights_miami,yes,0,"Mo-Th 17:00-22:00; Fr-Su 12:00-16:00,17:00-22:00",+61 7 5578 6488,yes,https://indiandelights.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/763658494,GreenStreet,,Point,-80.2439936,25.7267352,node/763658494,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1024679363,El Cartel Colombian Restaurant,,Point,-80.191904,25.772604,node/1024679363,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1024680688,Wok Town,,Point,-80.191796,25.77284,node/1024680688,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1025619350,Giardino Gourmet Salads,,Point,-80.1905632,25.7743016,node/1025619350,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1025627486,New York Bagel Deli,,Point,-80.1909595,25.7743481,node/1025627486,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1025644161,Starbucks,,Point,-80.1891993,25.7733161,node/1025644161,,Miami,110,33131,FL,Southeast 3rd Avenue,cafe,Starbucks,Q37158,coffee_shop,Starbucks Coffee,,,,,,,,+1 305-755-9278,yes,https://www.starbucks.com/store-locator/store/15353/se-3rd-ave-1st-street-110-se-3rd-ave-miami-fl-331312004-us,Southeast 3rd Avenue & 1st Street,15353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
