type,properties/@id,properties/name,properties/tourism,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/amenity,properties/addr:city,properties/cuisine,properties/outdoor_seating,properties/smoking,properties/source,properties/wikidata,properties/name:ru,properties/internet_access,properties/description,properties/image,properties/website,properties/internet_access:fee,properties/rooms,properties/addr:country,properties/phone,properties/name:en,properties/name:hi,properties/name:kn,properties/name:tr,properties/waterway,properties/email,properties/fax,properties/stars,properties/diet:vegetarian,properties/addr:postcode,properties/air_conditioning,properties/bar,properties/check_date,properties/payment:cash,properties/payment:upi,properties/toilets,properties/opening_hours,properties/elephant,properties/wheelchair,properties/name:nl,properties/operator,properties/diet:vegan,properties/indoor_seating,properties/natural,properties/addr:street,properties/access,properties/addr:housenumber,properties/delivery,properties/capacity,properties/takeaway,properties/check_date:opening_hours,properties/opening_hours:signed,properties/brand,properties/contact:facebook,properties/reservation,properties/brand:ks,properties/brand:pa,properties/brand:ur,properties/brand:wikidata,properties/brand:wikipedia,properties/name:ks,properties/name:pa,properties/name:ur,properties/biergarten,properties/disused:shop,properties/note,properties/name:it,properties/addr:housename,properties/attraction,properties/microbrewery,properties/shop,properties/addr:district,properties/branch,properties/website:menu,properties/payment:credit_cards,properties/payment:debit_cards,properties/name_1,properties/alt_name,properties/addr:floor,properties/level,properties/name:mr,properties/name:gom,properties/place,properties/wikipedia,properties/amenity_1,properties/internet_access:ssid,properties/name:de,properties/addr:state,properties/name:fr,properties/elevation,properties/leisure,properties/sport,properties/supervised,properties/changing_table,properties/addr:street:ru,properties/surface,properties/beds,properties/toilets:access,properties/toilets:wheelchair,properties/loc_name,properties/payment:american_express,properties/payment:diners_club,properties/payment:mastercard,properties/payment:paytm,properties/payment:rupay,properties/payment:visa,properties/historic,properties/inscription,properties/man_made,properties/start_date,properties/name:es,properties/name:ko,properties/addr:place,properties/check_date:diet:vegan,properties/changing_table:count,properties/payment:coins,properties/payment:notes,properties/contact:email,properties/floors,properties/swimming_pool,properties/survey:date,properties/diet:gluten_free,properties/contact:fax,properties/official_name,properties/pets,properties/pincode,properties/diet:chicken,properties/diet:fish,properties/diet:meat,properties/contact:instagram,properties/payment:google_pay,properties/denotation,properties/genus,properties/diet:non-vegetarian,properties/fixme,properties/diet:local,properties/diet:pescetarian,properties/diet:seafood,properties/check_date:currency:XBT,properties/currency:XBT,properties/payment:blink,properties/payment:lightning,properties/payment:lightning_contactless,properties/payment:onchain,properties/image:menu,properties/panoramax:0,properties/panoramax:1,properties/panoramax:2,properties/panoramax:3,properties/panoramax:4,properties/panoramax:5,properties/panoramax:6,properties/panoramax:7,properties/panoramax:8,properties/panoramax:9,properties/toilets:fee,properties/highchair,properties/mobile,properties/currency:INR,properties/diet:mediterranean,properties/self_service
Feature,node/342119419,Hotel Green Park,hotel,Point,73.8069679,15.5746755,node/342119419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/487081098,Banan Republic Cavala,,Point,73.7521292,15.5614229,node/487081098,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/487081099,Britto's,,Point,73.7494583,15.5613469,node/487081099,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/487236309,Sussegad Souza,,Point,73.7645342,15.5440238,node/487236309,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/487236344,Dandey's Grill,,Point,73.8145735,15.5440652,node/487236344,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/487257218,Cafe Coffee Day,,Point,73.809043,15.4822637,node/487257218,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/487257237,Ice Cube,,Point,73.8061277,15.4641285,node/487257237,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/487257272,Mandovi,hotel,Point,73.8293449,15.50011,node/487257272,,Panaji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/535560323,Royal Goan Beach Club at Monterio,hotel,Point,73.7537219,15.5691298,node/535560323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/536511497,Poisson Rouge,,Point,73.7499477,15.5655465,node/536511497,restaurant,,french,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
