type,properties/@id,properties/amenity,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/brand,properties/brand:wikidata,properties/brand:wikipedia,properties/cuisine,properties/level,properties/name,properties/takeaway,properties/wheelchair,properties/addr:city,properties/addr:housenumber,properties/addr:street,properties/check_date,properties/air_conditioning,properties/diet:vegan,properties/diet:vegetarian,properties/drive_through,properties/indoor_seating,properties/internet_access,properties/opening_hours,properties/outdoor_seating,properties/payment:cash,properties/payment:credit_cards,properties/payment:debit_cards,properties/recycling:coffee_cups,properties/smoking,properties/alt_name,properties/official_name,properties/phone,properties/tourism,properties/website,properties/addr:postcode,properties/description,properties/ref:vatin,properties/self_checkout,properties/capacity,properties/wifi,properties/check_date:opening_hours,properties/contact:facebook,properties/contact:instagram,properties/contact:twitter,properties/website:menu,properties/opendata:type,properties/toilets:wheelchair,properties/addr:province,properties/delivery,properties/internet_access:fee,properties/wikidata,properties/wikipedia,properties/operator,properties/operator:wikidata,properties/operator:wikipedia,properties/wheelchair:description,properties/wikipedia:en,properties/source,properties/note,properties/toilets,properties/llbo,properties/addr:floor,properties/internet_access:ssid,properties/email,properties/opening_hours:signed,properties/created_by,properties/addr:unit,properties/highchair,properties/website:en,properties/website:fr,properties/addr:country,properties/diet:halal,properties/diet:kosher,properties/payment:contactless,properties/payment:mastercard,properties/payment:visa,properties/ref,properties/amenity:disused,properties/old_name,properties/image,properties/addr:district,properties/washrooms,properties/drink:coffee,properties/drink:juice,properties/shop,properties/floor,properties/branch,properties/former_name,properties/check_date:smoking,properties/fixme,properties/not:brand:wikidata,properties/layer,properties/dispensing,properties/drink:espresso,properties/addr:housename,properties/self_service,properties/hst_number,properties/payment:american_express,properties/store_ref,properties/toilets:access,properties/stars,properties/stars:system,properties/addr:place,properties/name:en,properties/name:fr,properties/reservation,properties/payment:interac,properties/gst_number,properties/diet:gluten_free,properties/access,properties/postal_code,properties/cost:coffee,properties/bar,properties/changing_table,properties/changing_table:location,properties/toilets:wheelchair:description,properties/display,properties/historic,properties/support,properties/payment:gift_card,properties/fax,properties/comment,properties/short_name,properties/name:ko,properties/est_date,properties/name:es,properties/payment:coins,properties/payment:notes,properties/source:alt_name,properties/brand:en,properties/brand:zh,properties/url,properties/payment:cards,properties/name:zh,properties/valet,properties/start_date,properties/colour,properties/emergency,properties/diet:beef,properties/diet:chicken,properties/diet:seafood,properties/name:zh-Hans,properties/name:zh-Hant,properties/vacant,properties/diet:healthy,properties/diet:meat,properties/dine_in,properties/survey:date,properties/catering,properties/drink,properties/lgbtq,properties/sport,properties/addr:house,properties/fee,properties/attraction,properties/internet_access:type,properties/highway,properties/store_name,properties/contact:email,properties/food,properties/chocolates,properties/check_date:diet:vegetarian,properties/twitter,properties/opening_hours:drive_through,properties/addr:suburb,properties/check_date:diet:vegan,properties/addr:subdistrict,properties/max_occupancy,properties/seating,properties/entrance,properties/heritage,properties/microbrewery,properties/office,properties/halal,properties/branch_name,properties/owner,properties/toilets:changing_table,properties/rice_noodle,properties/parking:fee,properties/int_name,properties/seats,properties/opening_hours:covid19,properties/opening_hours:url,properties/level:ref,properties/brand:short,properties/rooms,properties/unit,properties/name:vi,properties/brewery,properties/outdoor_seating:comfort,properties/check_date:currency:XBT,properties/currency:XBT,properties/payment:lightning,properties/payment:lightning_contactless,properties/payment:onchain,properties/contact:phone,properties/contact:website,properties/indoor,properties/payment:alipay,properties/payment:wechat,properties/leisure,properties/opening_hours:kitchen,properties/payment:credit_card,properties/source:addr,properties/barbecue,properties/addr:full,properties/disused:amenity,properties/building,properties/phone:mnemonic,properties/name:yue,properties/instagram,properties/internet_access:password,properties/rocks,properties/diet:non-vegetarian,properties/year,properties/diet:dairy_free,properties/name:nl,properties/payment:diners_club,properties/payment:discover_card,properties/payment:jcb,properties/payment:unionpay,properties/alcohol,properties/sensory_friendly,properties/fixme:type,properties/payment:apple_pay,properties/payment:google_pay,properties/payment:coinos,properties/cafe,properties/diet:pork,properties/brand:zh-Hans,properties/brand:zh-Hant,properties/name:zh-Latn-pinyin,properties/diet:spicy,properties/addr:door,properties/network,properties/theme,properties/organic,properties/stroller,properties/diet:fish,properties/diet:local,properties/start_date:restaurant,properties/was:amenity,properties/long_name,properties/alcohol:sales,properties/payment:qr_code
Feature,node/21631698,restaurant,Point,-79.3965963,43.6320111,node/21631698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/48553537,cafe,Point,-79.3528895,43.6772079,node/48553537,Second Cup,Q862180,en:Second Cup,coffee_shop,0,Second Cup,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/53542349,cafe,Point,-79.3909545,43.6500196,node/53542349,,,,,,Nord Lyon Cafe,,,Toronto,250,Queen Street West,2026-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/54965507,cafe,Point,-79.4062653,43.6523976,node/54965507,Tim Hortons,Q175106,en:Tim Hortons,coffee_shop,,Tim Hortons,yes,yes,,,,2025-12-10,yes,no,yes,no,yes,wlan,24/7,no,yes,yes,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/59566254,cafe,Point,-79.3916769,43.6434725,node/59566254,Tim Hortons,Q175106,en:Tim Hortons,coffee_shop,,Tim Hortons,yes,limited,,,,2025-07-12,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/59566311,cafe,Point,-79.3894561,43.6453549,node/59566311,Starbucks,Q37158,en:Starbucks,coffee_shop,,Starbucks,yes,yes,,224,Wellington Street West,,,,,,,,,,,,,,,Starbucks Coffee,Starbucks Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/60930917,,Point,-79.4033862,43.668096,node/60930917,,,,,,Madison Manor,,no,Toronto,20,Madison Avenue,,,,,,,,,,,,,,,,,+1-416-922-5579,hotel,http://madisonmanorboutiquehotel.com/location/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/60930953,cafe,Point,-79.3976093,43.6681371,node/60930953,Tim Hortons,Q175106,en:Tim Hortons,coffee_shop,,Tim Hortons,yes,yes,Toronto,246,Bloor Street West,,,,,no,,wlan,24/7,,,,,,,,,,,,M5S 1V4,Utoronto wireless here,865112817RT0001,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/60930956,cafe,Point,-79.3936342,43.670435,node/60930956,Starbucks,Q37158,en:Starbucks,coffee_shop,,Starbucks,yes,,Toronto,137-139,Yorkville Avenue,,,,,,,,,,,,,,,Starbucks Coffee,Starbucks Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/60931257,cafe,Point,-79.3900893,43.6705964,node/60931257,Starbucks,Q37158,en:Starbucks,coffee_shop,,Starbucks,yes,,Toronto,1250,Bay Street,2024-10-01,,,,,,yes,Mo-Su 06:30-22:00,,,,,,no,Starbucks Coffee,Starbucks Coffee,,,,M5R 2B1,,,,20,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
